date,raw_date,excel_row,sample_no,instrument_batch_index,instrument_no,sample_id,sample_name,match_method,reference,calculated,confidence,confidence_level,baseline_mode,cluster_quality_score,rt_shift,best_window,omega_omega3_trio,omega_omega3_trio_strict,omega_omega3_trio_corrected,omega_total_area,omega_effective_total_area,omega_epa_area,omega_dha_area,omega_dpa_area,omega_epa_neighbor_area,omega_epa_overlap_credit_area,omega_epa_effective_area,omega_epa_overlap_fraction,omega_epa_overlap_model_applied,omega_epa_overlap_extra_scale,omega_c22_overlap_source_area,omega_c22_overlap_credit_area,omega_c22_overlap_fraction,omega_c22_overlap_legacy_fraction,omega_c22_overlap_model_fraction,omega_c22_overlap_model_applied,omega_c22_reference_ratio,omega_c22_width_scale,omega_c22_overintegration_debit_area,omega_c22_overintegration_debit_points,omega_c22_overintegration_model_applied,omega_c18_denominator_scale,C20_5_area,C20_5_found_rt,C20_5_expected_rt,C20_5_corrected_target_rt,C20_5_rt_error,C20_5_width,C20_5_left_width,C20_5_right_width,C20_5_asymmetry,C20_5_status,C20_3N8_area,C20_3N8_found_rt,C20_3N8_expected_rt,C20_3N8_corrected_target_rt,C20_3N8_rt_error,C20_3N8_width,C20_3N8_left_width,C20_3N8_right_width,C20_3N8_asymmetry,C20_3N8_status,C20_4N6_area,C20_4N6_found_rt,C20_4N6_expected_rt,C20_4N6_corrected_target_rt,C20_4N6_rt_error,C20_4N6_width,C20_4N6_left_width,C20_4N6_right_width,C20_4N6_asymmetry,C20_4N6_status,C22_6_area,C22_6_found_rt,C22_6_expected_rt,C22_6_corrected_target_rt,C22_6_rt_error,C22_6_width,C22_6_left_width,C22_6_right_width,C22_6_asymmetry,C22_6_status,C22_5_area,C22_5_found_rt,C22_5_expected_rt,C22_5_corrected_target_rt,C22_5_rt_error,C22_5_width,C22_5_left_width,C22_5_right_width,C22_5_asymmetry,C22_5_status,C22_4_area,C22_4_found_rt,C22_4_expected_rt,C22_4_corrected_target_rt,C22_4_rt_error,C22_4_width,C22_4_left_width,C22_4_right_width,C22_4_asymmetry,C22_4_status,C18_1N9C_area,C18_1N9C_found_rt,C18_1N9C_expected_rt,C18_1N9C_corrected_target_rt,C18_1N9C_rt_error,C18_1N9C_width,C18_1N9C_left_width,C18_1N9C_right_width,C18_1N9C_asymmetry,C18_1N9C_status,C18_2N6C_area,C18_2N6C_found_rt,C18_2N6C_expected_rt,C18_2N6C_corrected_target_rt,C18_2N6C_rt_error,C18_2N6C_width,C18_2N6C_left_width,C18_2N6C_right_width,C18_2N6C_asymmetry,C18_2N6C_status,C18_3N3_area,C18_3N3_found_rt,C18_3N3_expected_rt,C18_3N3_corrected_target_rt,C18_3N3_rt_error,C18_3N3_width,C18_3N3_left_width,C18_3N3_right_width,C18_3N3_asymmetry,C18_3N3_status,judge_accepted,judge_rejected,judge_codes,judge_reasons,selected_variant,delta,abs_delta,error,review_flag,outlier_class,review_reasons
06032026,06032026,2,2,2,2,1110012176,O2_1110012176.D,instrument_no,5.2,3.7633113726510854,70.0,Быстро проверить,chebyshev,50.0,0.0010000000000001397,81,3.7633113726510854,4.141087505929523,3.7633113726510854,25200.108516537824,25200.108516537824,46.51007319476393,679.7151536117764,317.33331845248915,414.021784377645,0.0,46.51007319476393,0.0,False,1.0,185.3268649733165,0.0,0.0,0.0,,False,1.712289896546726,0.65,95.19999553574674,0.3777761332784372,True,1.0,46.51007319476393,8.413775888558535,8.4,8.401,0.012775888558534731,0.03167704289170992,0.008912580148960458,0.02276446274274946,2.5541944490007924,matched_c20_fit,414.021784377645,8.470137558383685,7.8,7.801,0.6691375583836852,0.06345964869871601,0.033597207082401326,0.029862441616314683,1.1250656431269919,matched_c20_fit,2205.275777933024,8.38359082937479,8.4,8.401,-0.017409170625210635,0.05486330840957443,0.03359082937478952,0.021272479034784908,1.5790745084229045,matched_c20_fit,679.7151536117764,9.248666666666665,9.2,9.200999999999999,0.0476666666666663,0.044333333333334224,0.027999999999998693,0.01633333333333553,1.7142857142854036,matched_c22_rule_baseexpand,317.33331845248915,9.281666666666666,9.2,9.200999999999999,0.08066666666666755,0.03166666666666629,0.01633333333333198,0.01533333333333431,1.0652173913041916,matched_c22_rule_baseexpand,185.3268649733165,9.312333333333333,9.2,9.200999999999999,0.1113333333333344,0.018666666666666387,0.009666666666666046,0.009000000000000341,1.0740740740739645,matched_c22_rule,3757.199718377637,7.624666666666666,7.7,7.7010000000000005,-0.07633333333333425,0.03066666666666773,0.016333333333333755,0.014333333333333975,1.1395348837209087,matched_c18_rule_baseexpand,7493.796670636604,7.592,7.6,7.601,-0.009000000000000341,0.03466666666666551,0.018333333333332646,0.016333333333332867,1.1224489795918267,matched_rt_baseexpand,470.60319572870065,7.653666666666666,,,,0.041999999999999815,0.014333333333333087,0.027666666666666728,1.9302325581395723,matched_c18_rule_baseexpand,6,0,"C18:1N9C,C18:2N6C,C18:3N3,C22:5,C22:6,C24:0",accepted,current_pipeline,-1.4366886273489148,1.4366886273489148,,REVIEW,underestimated_cluster,"large_rt_error,cluster_overlap_or_fit"
01032026,01032026,4,4,4,4,5555839154,O4_5555839154.D,instrument_no,5.3,3.8718274332975944,42.0,Ручная проверка,asls_shape_fallback,50.0,-0.0069999999999998674,81,3.8718274332975944,4.321827433297595,3.8718274332975944,22275.78413107289,22275.78413107289,12.8846283703865,480.74119605382975,469.0951251346441,432.76362892187257,0.0,12.8846283703865,0.0,False,1.0,193.43106713142586,0.0,0.0,0.0,,False,2.4251281456040332,0.65,100.24102858982802,0.45000000000000007,True,1.0,12.8846283703865,8.408602934999129,8.4,8.393,0.015602934999128237,0.03253959487363112,0.008459285674584649,0.024080309199046468,2.8466126012736663,matched_c20_fit,432.76362892187257,8.46263312876449,7.8,7.793,0.669633128764489,0.06731675580182461,0.029949884566313756,0.03736687123551086,1.2476465861754735,matched_c20_fit,2809.733554357963,8.376295663114279,8.4,8.393,-0.016704336885721816,0.050143649324544626,0.026295663114279222,0.023847986210265404,1.102636628620668,matched_c20_fit,480.74119605382975,9.241333333333333,9.2,9.193,0.04833333333333378,0.04166666666666785,0.02800000000000047,0.013666666666667382,2.0487804878048053,matched_c22_rule_baseexpand,469.0951251346441,9.269333333333334,9.2,9.193,0.07633333333333425,0.03433333333333444,0.01133333333333475,0.022999999999999687,2.029411764705601,matched_c22_rule,193.43106713142586,9.305,9.2,9.193,0.1120000000000001,0.04066666666666485,0.017666666666665165,0.022999999999999687,1.3018867924529232,matched_c22_rule_baseexpand,3388.013151744585,7.617666666666667,7.7,7.6930000000000005,-0.07533333333333392,0.030666666666666842,0.016666666666666607,0.014000000000000234,1.1904761904761663,matched_c18_rule_baseexpand,5029.905492966365,7.584333333333333,7.6,7.593,-0.0086666666666666,0.03399999999999981,0.0173333333333332,0.016666666666666607,1.0399999999999958,matched_rt_baseexpand,248.26833892794744,7.646,,,,0.046333333333334004,0.008333333333333748,0.038000000000000256,4.559999999999804,matched_c18_rule,6,0,"C18:0,C18:1N9C,C18:2N6C,C18:3N6,C22:4,C22:6",accepted,current_pipeline,-1.4281725667024054,1.4281725667024054,,REJECT,underestimated_cluster,"medium_confidence,baseline_fallback,large_rt_error,asymmetric_peak_window,cluster_overlap_or_fit"
02072026,020726,5,105067678302,4,4,105067678302,O4_105067678302.D,sample_id,4.93,3.658719373848654,70.0,Быстро проверить,asls_shape_fallback,50.0,-0.003999999999999865,81,3.658719373848654,3.658719373848654,3.658719373848654,252188.2633821588,252188.2633821588,1264.9708422248991,6237.36730793453,1724.5227007760852,3235.881083820295,0.0,1264.9708422248991,0.0,False,1.0,1529.7986465826473,0.0,0.0,0.0,,False,1.1272873751251016,0.65,0.0,0.0,False,1.0,1264.9708422248991,8.408333333333333,8.4,8.396,0.012333333333332419,0.030666666666666842,0.009333333333334082,0.02133333333333276,2.285714285714041,matched_c20_local,3235.881083820295,8.464,7.8,7.796,0.6680000000000001,0.07833333333333314,0.03433333333333444,0.04399999999999871,1.2815533980581735,matched_c20_local,16765.57769400614,8.379,8.4,8.396,-0.017000000000001236,0.04699999999999882,0.026999999999999247,0.019999999999999574,1.3499999999999912,matched_c20_local,6237.36730793453,9.242333333333335,9.2,9.196,0.04633333333333489,0.07333333333333236,0.05400000000000027,0.019333333333332092,2.7931034482760553,matched_c22_rule,1724.5227007760852,9.275333333333334,9.2,9.196,0.07933333333333437,0.03133333333333255,0.016333333333333755,0.014999999999998792,1.0888888888890047,matched_c22_rule_baseexpand,1529.7986465826473,9.305333333333333,9.2,9.196,0.10933333333333373,0.04899999999999949,0.013999999999999346,0.03500000000000014,2.500000000000127,matched_c22_rule,44476.12037129088,7.628333333333334,7.7,7.696000000000001,-0.06766666666666676,0.028999999999999915,0.016666666666667496,0.012333333333332419,1.3513513513515187,matched_c18_rule_baseexpand,56341.711577566224,7.594666666666667,7.6,7.596,-0.0013333333333331865,0.03833333333333222,0.0216666666666665,0.01666666666666572,1.300000000000064,matched_rt_baseexpand,3220.434391909238,7.653333333333332,,,,0.040000000000000036,0.006333333333332192,0.033666666666667844,5.315789473685355,matched_c18_rule,5,0,"C16:1N7,C18:1N9C,C18:2N6C,C18:3N6,C22:5",accepted,current_pipeline,-1.2712806261513458,1.2712806261513458,,REJECT,underestimated_unclassified,"baseline_fallback,large_rt_error,wide_peak_window,asymmetric_peak_window"
03072026,03072026,27,105069916298,26,27,925663916002,O27_925663916002.D,position_date_override,2.5,3.5027190885603185,50.0,Ручная проверка,chebyshev,50.0,-0.00999999999999987,51,3.5027190885603185,3.952719088560319,3.5027190885603185,21856.584165878245,21856.584165878245,9.764303805445937,393.2707478121196,460.89432281435603,374.0084338690103,0.0,9.764303805445937,0.0,False,1.0,170.54714787907085,0.0,0.0,0.0,,False,2.702445209703304,0.65,98.35462874645211,0.45,True,1.0,9.764303805445937,8.413333333333025,8.4,8.39,0.023333333333024342,0.03409291196565967,0.014552138636387824,0.019540773329271843,1.3428111027206593,matched_c20_fit,374.0084338690103,8.459183906046807,7.8,7.79,0.6691839060468068,0.06667064862828553,0.026309799384510058,0.040360849243775476,1.5340614595312345,matched_c20_fit,2342.313595899688,8.372519132001283,8.4,8.39,-0.017480867998717287,0.04878119469663744,0.022519132001283637,0.026262062695353805,1.1662111440999063,matched_c20_fit,393.2707478121196,9.237,9.2,9.19,0.0470000000000006,0.04266666666666552,0.02800000000000047,0.014666666666665051,1.9090909090911514,matched_c22_rule_baseexpand,460.89432281435603,9.267,9.2,9.19,0.07699999999999996,0.03500000000000014,0.013999999999999346,0.021000000000000796,1.5000000000001268,matched_c22_rule,170.54714787907085,9.300666666666668,9.2,9.19,0.11066666666666869,0.041333333333332334,0.016666666666667496,0.024666666666664838,1.4799999999998166,matched_c22_rule_baseexpand,2806.6707762313117,7.613,7.7,7.69,-0.07699999999999996,0.035333333333332995,0.015000000000000568,0.020333333333332426,1.3555555555554437,matched_c18_rule,5658.116516093205,7.580666666666667,7.6,7.59,-0.009333333333333194,0.03433333333333355,0.018333333333333535,0.016000000000000014,1.1458333333333448,matched_rt_baseexpand,313.34142447789765,7.641666666666667,,,,0.041999999999999815,0.014000000000000234,0.02799999999999958,1.9999999999999365,matched_c18_rule_baseexpand,5,0,"C18:2N6C,C18:3N3,C18:3N6,C22:4,C22:6",accepted,current_pipeline,1.0027190885603185,1.0027190885603185,,REJECT,overestimated_cluster,"medium_confidence,large_rt_error,cluster_overlap_or_fit"
03072026,03072026,8,900512824605,7,8,104837397699,O8_104837397699.D,position_date_override,3.0,3.8014931784610817,74.0,Быстро проверить,chebyshev,50.0,-0.010999999999999871,101,3.8014931784610817,4.251493178461081,3.8014931784610817,23657.23904798775,23657.23904798775,36.73222567857133,419.9287638193488,549.1249148395104,436.82714265233085,0.0,36.73222567857133,0.0,False,1.0,232.33223967595973,0.0,0.0,0.0,,False,2.3635329974238197,0.65,106.45757571594487,0.45,True,1.0,36.73222567857133,8.406,8.4,8.389000000000001,0.01699999999999946,0.018000000000000682,0.0070000000000014495,0.010999999999999233,1.5714285714281364,matched_c20_rule,436.82714265233085,8.458,7.8,7.789,0.6690000000000005,0.05400000000000027,0.0259999999999998,0.02800000000000047,1.0769230769231033,matched_c20_rule_baseexpand,2558.2419884323517,8.371666666666666,8.4,8.389000000000001,-0.017333333333334977,0.04933333333333323,0.02533333333333232,0.02400000000000091,1.0555555555554734,matched_c20_rule,419.9287638193488,9.237,9.2,9.189,0.04800000000000004,0.02133333333333276,0.010666666666665492,0.010666666666667268,1.0000000000001665,matched_c22_rule,549.1249148395104,9.264333333333333,9.2,9.189,0.07533333333333303,0.03500000000000014,0.011333333333332973,0.02366666666666717,2.0882352941177578,matched_c22_rule,232.33223967595973,9.300333333333334,9.2,9.189,0.1113333333333344,0.04266666666666552,0.018000000000000682,0.024666666666664838,1.3703703703702168,matched_c22_rule_baseexpand,3836.8360352051723,7.613333333333333,7.7,7.689,-0.07566666666666677,0.03733333333333366,0.015333333333333421,0.02200000000000024,1.4347826086956597,matched_c18_rule,6004.57464727138,7.58,7.6,7.5889999999999995,-0.008999999999999453,0.03433333333333355,0.01766666666666694,0.016666666666666607,1.0600000000000203,matched_rt_baseexpand,171.98131471661202,7.644,,,,0.012000000000000455,0.005666666666666487,0.006333333333333968,1.1176470588236769,matched_c18_rule,3,0,"C18:2N6C,C20:3N8,C22:4",accepted,current_pipeline,0.8014931784610817,0.8014931784610817,,REVIEW,overestimated_unclassified,large_rt_error
03072026,03072026,69,1110012947,68,69,1110012953,O69_1110012953.D,position_date_override,2.7,3.4782909284013313,60.0,Проверить руками,chebyshev,50.0,-0.00899999999999987,61,3.4782909284013313,3.9282909284013314,3.4782909284013313,22975.907384371825,22975.907384371825,46.00416888760212,494.04478263785677,362.51153397271116,334.70592310086175,0.0,46.00416888760212,0.0,False,1.0,129.10104295565608,0.0,0.0,0.0,,False,2.807967508808023,0.65,103.39158322967322,0.45,True,1.0,46.00416888760212,8.404,8.4,8.391,0.0129999999999999,0.03348700092850443,0.015499999999999403,0.017987000928505026,1.1604516728068206,matched_c20_fit,334.70592310086175,8.459666666666667,7.8,7.791,0.6686666666666667,0.07801299907149506,0.03767966573816217,0.04033333333333289,1.0704270471402582,matched_c20_fit,2971.628474137851,8.373,8.4,8.391,-0.018000000000000682,0.03850000000000087,0.022999999999999687,0.01550000000000118,1.4838709677418025,matched_c20_fit,494.04478263785677,9.237666666666666,9.2,9.190999999999999,0.046666666666666856,0.04433333333333245,0.027999999999998693,0.016333333333333755,1.71428571428559,matched_c22_rule_baseexpand,362.51153397271116,9.270666666666667,9.2,9.190999999999999,0.0796666666666681,0.033333333333333215,0.015333333333332533,0.018000000000000682,1.1739130434783667,matched_c22_rule,129.10104295565608,9.301,9.2,9.190999999999999,0.11000000000000121,0.03866666666666596,0.015000000000000568,0.023666666666665392,1.577777777777633,matched_c22_rule_baseexpand,3532.483571687533,7.6146666666666665,7.7,7.691000000000001,-0.07633333333333425,0.035666666666667624,0.016333333333333755,0.01933333333333387,1.1836734693877573,matched_c18_rule,5659.70744888344,7.581333333333333,7.6,7.591,-0.009666666666666934,0.03466666666666729,0.018000000000000682,0.016666666666666607,1.0800000000000447,matched_rt_baseexpand,350.25907668464924,7.642333333333333,,,,0.04999999999999982,0.00833333333333286,0.04166666666666696,5.00000000000032,matched_c18_rule,5,0,"C16:1N7,C18:2N6C,C18:3N6,C22:4,C22:6",accepted,current_pipeline,0.7782909284013311,0.7782909284013311,,REJECT,overestimated_cluster,"large_rt_error,wide_peak_window,asymmetric_peak_window,cluster_overlap_or_fit"
03072026,03072026,40,104962405001,39,40,105070893202,O40_105070893202.D,position_date_override,9.83,9.180991376421751,60.0,Проверить руками,asls_shape_fallback,50.0,-0.013999999999999874,61,9.180991376421751,8.572261896370147,9.180991376421751,27525.93694922089,27525.93694922089,879.0783975073618,1376.5266955179718,103.99031169160038,237.15367178219117,0.0,879.0783975073618,0.0,False,1.0,429.00109521554486,167.5584928703246,0.39057824033325017,0.95,0.3681493341878209,True,0.24240104011704697,0.65,0.0,0.0,False,1.0,879.0783975073618,8.401666666666667,8.4,8.386000000000001,0.015666666666666273,0.03999999999999915,0.014333333333333087,0.02566666666666606,1.7906976744185932,matched_c20_rule_baseexpand,237.15367178219117,8.459,7.8,7.786,0.673,0.0519999999999996,0.03166666666666629,0.020333333333333314,1.5573770491803107,matched_c20_rule,2064.50581300679,8.372666666666667,8.4,8.386000000000001,-0.013333333333333641,0.04399999999999871,0.027333333333332988,0.01666666666666572,1.6400000000000725,matched_c20_rule,1376.5266955179718,9.237666666666666,9.2,9.186,0.05166666666666586,0.04400000000000048,0.022666666666665947,0.021333333333334537,1.0624999999999063,matched_c22_rule,103.99031169160038,9.271,9.2,9.186,0.08500000000000085,0.01666666666666572,0.00833333333333286,0.00833333333333286,1.0,matched_c22_rule,429.00109521554486,9.299,9.2,9.186,0.11299999999999955,0.04600000000000293,0.01533333333333431,0.03066666666666862,2.0,matched_c22_rule,5165.567699572612,7.6146666666666665,7.7,7.686,-0.07133333333333347,0.03599999999999959,0.01699999999999946,0.019000000000000128,1.1176470588235725,matched_c18_rule,6166.826240189734,7.581,7.6,7.585999999999999,-0.004999999999999005,0.033666666666666956,0.017000000000000348,0.016666666666666607,1.0200000000000244,matched_rt_baseexpand,325.6454145678877,7.642,,,,0.04699999999999971,0.008333333333333748,0.03866666666666596,4.639999999999684,matched_c18_rule,3,0,"C16:1N7,C18:2N6C,C20:5",accepted,current_pipeline,-0.6490086235782488,0.6490086235782488,,REJECT,underestimated_unclassified,"baseline_fallback,large_rt_error,asymmetric_peak_window"
02072026,020726,72,903862928199,71,71,903862928199,O71_903862928199.D,sample_id,3.95,4.577730292981353,62.0,Проверить руками,chebyshev,50.0,-0.00899999999999987,51,4.577730292981353,5.027730292981352,4.577730292981353,18666.972175882544,18666.972175882544,42.580666826539264,496.7335790223287,399.21076902037896,293.4279778025031,0.0,42.580666826539264,0.0,False,1.0,209.81711347911727,0.0,0.0,0.0,,False,1.902660666714928,0.65,84.00137479147145,0.45,True,1.0,42.580666826539264,8.403333333333334,8.4,8.391,0.012333333333334195,0.03303946146703929,0.014833333333333698,0.01820612813370559,1.227379424744167,matched_c20_fit,293.4279778025031,8.460666666666668,7.8,7.791,0.669666666666668,0.0784605385329602,0.039127205199628534,0.039333333333331666,1.005268153773096,matched_c20_fit,2463.334838231364,8.373666666666665,8.4,8.391,-0.017333333333334977,0.03850000000000087,0.023666666666665392,0.014833333333335474,1.5955056179772118,matched_c20_fit,496.7335790223287,9.245,9.2,9.190999999999999,0.05400000000000027,0.041333333333332334,0.027999999999998693,0.013333333333333641,2.0999999999998535,matched_c22_rule_tailtight_baseexpand,399.21076902037896,9.271666666666668,9.2,9.190999999999999,0.08066666666666933,0.03200000000000003,0.01566666666666805,0.01633333333333198,1.0425531914891832,matched_c22_rule_tailtight,209.81711347911727,9.302,9.2,9.190999999999999,0.11100000000000065,0.041999999999999815,0.014999999999998792,0.027000000000001023,1.8000000000002132,matched_c22_rule_tailtight_baseexpand,2620.7033147179627,7.6146666666666665,7.7,7.691000000000001,-0.07633333333333425,0.03533333333333388,0.015666666666666273,0.01966666666666761,1.2553191489362618,matched_c18_rule,4114.423350076647,7.581666666666667,7.6,7.591,-0.009333333333333194,0.03399999999999981,0.01766666666666694,0.016333333333332867,1.0816326530612723,matched_rt_baseexpand,272.9311574818982,7.642666666666667,,,,0.050333333333332675,0.00833333333333286,0.041999999999999815,5.040000000000265,matched_c18_rule,4,0,"C16:1N7,C18:2N6C,C22:4,C22:6",accepted,current_pipeline,0.6277302929813526,0.6277302929813526,,REJECT,overestimated_cluster,"large_rt_error,wide_peak_window,asymmetric_peak_window,cluster_overlap_or_fit"
27022026,27022026,5,5,5,5,1100021851,O5_1100021851.D,instrument_no,5.2,5.75089440073885,45.0,Ручная проверка,chebyshev,50.0,-0.004999999999999866,81,5.75089440073885,5.247193048997007,5.75089440073885,25258.56333019818,25258.56333019818,237.6983072538168,953.1429140940625,134.52435799078623,315.7945503171075,0.0,237.6983072538168,0.0,False,1.0,264.2074555308173,127.22772492477802,0.4815447946734346,0.7408381456514378,,False,0.5091618543485622,0.65,0.0,0.0,False,1.0,237.6983072538168,8.407333333333334,8.4,8.395000000000001,0.012333333333332419,0.030333333333334878,0.009000000000000341,0.021333333333334537,2.370370370370414,matched_c20_local,315.7945503171075,8.463666666666665,7.8,7.795,0.668666666666665,0.0556666666666672,0.0329999999999977,0.0226666666666695,1.4558823529408929,matched_c20_local,2892.0498173800534,8.377666666666666,8.4,8.395000000000001,-0.017333333333334977,0.046333333333333115,0.02566666666666606,0.020666666666667055,1.2419354838709151,matched_c20_local,953.1429140940625,9.242651312813006,9.2,9.195,0.04765131281300583,0.044333333333334224,0.027984646146339998,0.016348687186994226,1.7117365954987784,matched_c22_pvfit_tail_baseexpand,134.52435799078623,9.275619272945066,9.2,9.195,0.0806192729450661,0.0259999999999998,0.012619272945066484,0.013380727054933317,1.0603405689996208,matched_c22_pvfit_tail,264.2074555308173,9.305531459960148,9.2,9.195,0.11053145996014813,0.04100000000000037,0.01653145996014871,0.02446854003985166,1.4801197292215171,matched_c22_pvfit_tail,3977.804552145292,7.619,7.7,7.695,-0.07600000000000051,0.0303333333333331,0.016333333333332867,0.014000000000000234,1.166666666666614,matched_c18_rule_baseexpand,6701.4884306554595,7.586,7.6,7.595,-0.008999999999999453,0.03466666666666729,0.018333333333333535,0.016333333333333755,1.12244897959182,matched_rt_baseexpand,415.30476157667454,7.647,,,,0.048333333333332895,0.008000000000000007,0.04033333333333289,5.041666666666607,matched_c18_rule,6,0,"C16:1N7,C18:1N9C,C18:2N6C,C18:3N6,C22:6,C24:0",accepted,current_pipeline,0.5508944007388497,0.5508944007388497,,REJECT,overestimated_cluster,"medium_confidence,large_rt_error,asymmetric_peak_window,cluster_overlap_or_fit"
01032026,01032026,3,3,3,3,1110012153,O3_1110012153.D,instrument_no,12.5,11.970391015873787,54.0,Ручная проверка,asls_shape_fallback,50.0,-0.004999999999999866,51,11.970391015873787,11.198018021241158,11.970391015873787,28562.38193512366,28562.38193512366,1345.0501785817396,1774.7542637863398,78.61623402279716,199.404804209039,0.0,1345.0501785817396,0.0,False,1.0,440.41859820358707,220.60812469072357,0.5009055602795994,0.95,0.651039898152819,True,0.17850343819144568,0.65,0.0,0.0,False,1.0,1345.0501785817396,8.406,8.4,8.395000000000001,0.010999999999999233,0.04066666666666663,0.014000000000001123,0.026666666666665506,1.904761904761669,matched_c20_rule_baseexpand,199.404804209039,8.463,7.8,7.795,0.6679999999999993,0.05033333333333445,0.0303333333333331,0.02000000000000135,1.5166666666665527,matched_c20_rule,1802.6271587610568,8.377333333333334,8.4,8.395000000000001,-0.01766666666666694,0.030666666666665066,0.016333333333333755,0.01433333333333131,1.1395348837211206,matched_c20_rule_baseexpand,1774.7542637863398,9.242666666666668,9.2,9.195,0.04766666666666808,0.04566666666666741,0.023666666666668945,0.021999999999998465,1.0757575757577544,matched_c22_rule,78.61623402279716,9.276,9.2,9.195,0.08099999999999952,0.023333333333333428,0.011333333333332973,0.012000000000000455,1.0588235294118384,matched_c22_rule,440.41859820358707,9.304666666666666,9.2,9.195,0.10966666666666569,0.04499999999999993,0.01666666666666572,0.02833333333333421,1.7000000000001492,matched_c22_rule,3607.1146999800376,7.619,7.7,7.695,-0.07600000000000051,0.03433333333333355,0.01499999999999968,0.01933333333333387,1.288888888888952,matched_c18_rule_valley,8820.304750412404,7.586666666666667,7.6,7.595,-0.00833333333333286,0.03733333333333366,0.020000000000000462,0.0173333333333332,1.1538461538461893,matched_rt_valley,231.79106204983168,7.646333333333333,,,,0.05766666666666609,0.007999999999999119,0.04966666666666697,6.208333333334055,matched_c18_rule_valley,2,0,"C20:4N6,C20:5",accepted,current_pipeline,-0.529608984126213,0.529608984126213,,REJECT,underestimated_low_confidence,"medium_confidence,baseline_fallback,strict_corrected_spread,large_rt_error,asymmetric_peak_window"
03072026,03072026,10,105068695803,9,10,929990895102,O10_929990895102.D,position_date_override,3.02,3.5495770030965716,42.0,Ручная проверка,asls_shape_fallback,50.0,-0.010999999999999871,61,3.5495770030965716,3.999577003096572,3.5495770030965716,22630.228585343444,22630.228585343444,16.04451234094025,467.85589594253753,421.2130099641053,268.82308479113533,0.0,16.04451234094025,0.0,False,1.0,193.06307367123998,0.0,0.0,0.0,,False,2.1817378225386252,0.65,101.8360286340455,0.45,True,1.0,16.04451234094025,8.411666666666358,8.4,8.389000000000001,0.02266666666635686,0.03601117406373078,0.01539253770119231,0.020618636362538467,1.339521576155785,matched_c20_fit,268.82308479113533,8.457929732004803,7.8,7.789,0.6689297320048038,0.06503688596082391,0.02564442897590702,0.03939245698491689,1.5361019355091183,matched_c20_fit,2309.981897079887,8.370733918260964,8.4,8.389000000000001,-0.018266081739037432,0.04627412896516603,0.020733918260964046,0.025540210704201982,1.2318082083060389,matched_c20_fit,467.85589594253753,9.243,9.2,9.189,0.05400000000000027,0.04066666666666663,0.02800000000000047,0.01266666666666616,2.210526315789599,matched_c22_rule_baseexpand,421.2130099641053,9.268666666666668,9.2,9.189,0.0796666666666681,0.033666666666666956,0.01600000000000179,0.017666666666665165,1.1041666666664494,matched_c22_rule,193.06307367123998,9.299333333333333,9.2,9.189,0.11033333333333317,0.03999999999999915,0.015333333333332533,0.024666666666666615,1.6086956521739937,matched_c22_rule_baseexpand,3467.1718177573016,7.612,7.7,7.689,-0.07699999999999996,0.03599999999999959,0.015666666666666273,0.020333333333333314,1.2978723404255632,matched_c18_rule,5766.930262374488,7.579,7.6,7.5889999999999995,-0.009999999999999787,0.03366666666666607,0.0173333333333332,0.016333333333332867,1.0612244897959406,matched_rt_baseexpand,190.52214467943227,7.640666666666666,,,,0.04899999999999949,0.00833333333333286,0.04066666666666663,4.880000000000273,matched_c18_rule,4,0,"C16:1N7,C18:2N6C,C22:4,C22:6",accepted,current_pipeline,0.5295770030965716,0.5295770030965716,,REJECT,overestimated_cluster,"medium_confidence,baseline_fallback,large_rt_error,asymmetric_peak_window,cluster_overlap_or_fit"
